"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Andrew Luck",8200,"NYJ@Ind 08:30PM ET",19.720,"Ind"
"QB","Drew Brees",7800,"TB@NO 01:00PM ET",20.500,"NO"
"RB","Adrian Peterson",7700,"Det@Min 01:00PM ET",8.200,"Min"
"RB","Matt Forte",7700,"Ari@Chi 01:00PM ET",30.600,"Chi"
"QB","Tom Brady",7500,"NE@Buf 01:00PM ET",27.620,"NE"
"WR","A.J. Green",7500,"SD@Cin 01:00PM ET",11.300,"Cin"
"WR","Alshon Jeffery",7500,"Ari@Chi 01:00PM ET",12.800,"Chi"
"QB","Matt Ryan",7400,"Atl@NYG 01:00PM ET",18.620,"Atl"
"RB","Arian Foster",7400,"Hou@Car 01:00PM ET",0,"Hou"
"WR","Randall Cobb",7400,"Sea@GB 08:30PM ET",14.800,"GB"
"WR","DeAndre Hopkins",7400,"Hou@Car 01:00PM ET",32.800,"Hou"
"WR","Mike Evans",7400,"TB@NO 01:00PM ET",0,"TB"
"RB","Jeremy Hill",7400,"SD@Cin 01:00PM ET",18.300,"Cin"
"TE","Rob Gronkowski",7300,"NE@Buf 01:00PM ET",32.400,"NE"
"QB","Russell Wilson",7300,"Sea@GB 08:30PM ET",16.140,"Sea"
"QB","Ben Roethlisberger",7200,"SF@Pit 01:00PM ET",22.040,"Pit"
"RB","Marshawn Lynch",7200,"Sea@GB 08:30PM ET",17.400,"Sea"
"QB","Cam Newton",7200,"Hou@Car 01:00PM ET",13.500,"Car"
"WR","T.Y. Hilton",7200,"NYJ@Ind 08:30PM ET",15.800,"Ind"
"RB","Eddie Lacy",7200,"Sea@GB 08:30PM ET",17.900,"GB"
"QB","Tony Romo",7100,"Dal@Phi 04:25PM ET",27.140,"Dal"
"QB","Eli Manning",7100,"Atl@NYG 01:00PM ET",8.520,"NYG"

